zcyc

tradedate;tradetime;period_5.0
26.09.2016;18:39:08;8,38
27.09.2016;18:39:45;8,41
28.09.2016;18:39:23;8,37
29.09.2016;18:38:44;8,33
30.09.2016;18:39:58;8,34
03.10.2016;18:39:29;8,24
04.10.2016;18:39:43;8,26
05.10.2016;18:39:27;8,35
06.10.2016;18:38:53;8,4
07.10.2016;18:39:55;8,44
10.10.2016;18:39:00;8,48
11.10.2016;18:39:47;8,54
12.10.2016;18:38:55;8,53
13.10.2016;18:39:58;8,6
14.10.2016;18:39:59;8,55
17.10.2016;18:39:58;8,7
18.10.2016;18:39:58;8,7
19.10.2016;18:39:58;8,58
20.10.2016;18:39:58;8,6
21.10.2016;18:39:58;8,54
24.10.2016;18:39:58;8,55
25.10.2016;18:37:23;8,55
26.10.2016;18:39:58;8,61
27.10.2016;18:39:59;8,65
28.10.2016;18:39:50;8,7
31.10.2016;18:39:12;8,73
01.11.2016;18:39:58;8,7
02.11.2016;18:39:59;8,76
03.11.2016;18:39:58;8,71
07.11.2016;18:39:58;8,58
08.11.2016;18:39:58;8,57
09.11.2016;18:39:58;8,61
10.11.2016;18:39:56;8,74
11.11.2016;18:39:57;8,89
14.11.2016;18:39:56;8,89
15.11.2016;18:39:58;8,82
16.11.2016;18:39:53;8,87
17.11.2016;18:39:56;8,79
18.11.2016;18:39:50;8,78
21.11.2016;18:39:58;8,74
22.11.2016;18:39:39;8,72
23.11.2016;18:39:57;8,82
24.11.2016;18:39:57;8,82
25.11.2016;18:39:58;8,84
28.11.2016;18:39:58;8,83
29.11.2016;18:39:48;8,87
30.11.2016;18:39:48;8,85
01.12.2016;18:39:59;8,78
02.12.2016;18:39:57;8,8
05.12.2016;18:39:52;8,75
06.12.2016;18:39:56;8,71
07.12.2016;18:39:55;8,64
08.12.2016;18:39:59;8,55
09.12.2016;18:39:36;8,52
12.12.2016;18:38:33;8,42
13.12.2016;18:39:52;8,38
14.12.2016;18:39:57;8,35
15.12.2016;18:39:40;8,42
16.12.2016;18:39:54;8,41
19.12.2016;18:39:55;8,42
20.12.2016;18:39:47;8,43
21.12.2016;18:39:53;8,42
22.12.2016;18:39:58;8,41
23.12.2016;18:39:56;8,38
26.12.2016;18:39:58;8,37
27.12.2016;18:39:58;8,36
28.12.2016;18:39:58;8,31
29.12.2016;18:39:58;8,23
30.12.2016;18:39:50;8,3
03.01.2017;18:39:59;8,22
04.01.2017;18:38:36;8,19
05.01.2017;18:39:36;8,16
06.01.2017;18:39:35;8,15
09.01.2017;18:39:58;8,11
10.01.2017;18:39:28;8,0
11.01.2017;18:39:52;8,05
12.01.2017;18:39:58;7,9
13.01.2017;18:39:47;7,89
16.01.2017;18:39:49;7,96
17.01.2017;18:39:52;7,91
18.01.2017;18:38:53;7,92
