zcyc

tradedate;tradetime;period_0.75
31.05.2016;18:39:43;9,8
01.06.2016;18:39:47;9,89
02.06.2016;18:39:56;9,86
03.06.2016;18:39:44;9,91
06.06.2016;18:39:44;9,86
07.06.2016;18:39:52;9,86
08.06.2016;18:39:56;9,87
09.06.2016;18:39:48;9,87
10.06.2016;18:39:23;9,75
14.06.2016;18:39:49;9,78
15.06.2016;18:38:56;9,95
16.06.2016;18:39:52;9,9
17.06.2016;18:39:20;10,01
20.06.2016;18:39:51;9,93
21.06.2016;18:39:56;9,89
22.06.2016;18:39:48;9,86
23.06.2016;18:39:57;9,96
24.06.2016;18:39:18;10,02
27.06.2016;18:39:58;9,86
28.06.2016;18:39:40;9,81
29.06.2016;18:39:59;9,78
30.06.2016;18:39:55;9,78
01.07.2016;18:39:49;9,81
04.07.2016;18:39:56;9,81
05.07.2016;18:39:57;9,83
06.07.2016;18:39:28;9,8
07.07.2016;18:39:56;9,71
08.07.2016;18:39:53;9,69
11.07.2016;18:39:52;9,69
12.07.2016;18:39:59;9,7
13.07.2016;18:39:01;9,72
14.07.2016;18:39:56;9,76
15.07.2016;18:39:36;9,75
18.07.2016;18:39:55;9,76
19.07.2016;18:39:58;9,72
20.07.2016;18:39:49;9,72
21.07.2016;18:39:29;9,71
22.07.2016;18:39:55;9,73
25.07.2016;18:39:47;9,73
26.07.2016;18:39:55;9,71
27.07.2016;18:39:56;9,7
28.07.2016;18:39:47;9,65
29.07.2016;18:39:57;9,58
01.08.2016;18:39:36;9,59
02.08.2016;18:39:59;9,59
03.08.2016;18:39:56;9,47
04.08.2016;18:39:51;9,38
05.08.2016;18:39:57;9,33
08.08.2016;18:39:53;9,35
09.08.2016;18:39:54;9,38
10.08.2016;18:39:57;9,37
11.08.2016;18:39:55;9,39
12.08.2016;18:39:52;9,41
15.08.2016;18:39:32;9,38
16.08.2016;18:39:47;9,36
17.08.2016;18:39:47;9,38
18.08.2016;18:39:55;9,4
19.08.2016;18:39:56;9,34
22.08.2016;18:39:54;9,33
23.08.2016;18:39:59;9,35
24.08.2016;18:39:57;9,33
25.08.2016;18:39:43;9,26
26.08.2016;18:39:21;9,16
29.08.2016;18:39:56;9,15
30.08.2016;18:39:55;9,12
31.08.2016;18:39:50;9,06
01.09.2016;18:39:46;9,03
02.09.2016;18:39:53;9,05
05.09.2016;18:39:44;9,11
06.09.2016;18:39:58;9,14
07.09.2016;18:39:58;9,09
08.09.2016;18:39:52;9,13
09.09.2016;18:39:38;9,11
12.09.2016;18:39:52;9,09
13.09.2016;18:39:59;9,02
14.09.2016;18:39:48;8,97
15.09.2016;18:38:51;9,0
16.09.2016;18:38:55;9,19
19.09.2016;18:39:49;9,2
20.09.2016;18:39:37;9,29
21.09.2016;18:39:34;9,2
22.09.2016;18:38:52;9,25
23.09.2016;18:39:39;9,28
26.09.2016;18:39:08;9,27
27.09.2016;18:39:45;9,29
28.09.2016;18:39:23;9,24
29.09.2016;18:38:44;9,17
30.09.2016;18:39:58;9,14
03.10.2016;18:39:29;9,16
04.10.2016;18:39:43;9,18
05.10.2016;18:39:27;9,2
06.10.2016;18:38:53;9,25
07.10.2016;18:39:55;9,25
10.10.2016;18:39:00;9,21
11.10.2016;18:39:47;9,23
12.10.2016;18:38:55;9,21
13.10.2016;18:39:58;9,23
14.10.2016;18:39:59;9,24
17.10.2016;18:39:58;9,25
18.10.2016;18:39:58;9,22
19.10.2016;18:39:58;9,19
20.10.2016;18:39:58;9,19
21.10.2016;18:39:58;9,22
24.10.2016;18:39:58;9,16
25.10.2016;18:37:23;9,15
26.10.2016;18:39:58;9,03
27.10.2016;18:39:59;9,05
28.10.2016;18:39:50;9,05
31.10.2016;18:39:12;9,18
01.11.2016;18:39:58;9,18
02.11.2016;18:39:59;9,15
03.11.2016;18:39:58;9,22
07.11.2016;18:39:58;9,24
08.11.2016;18:39:58;9,26
09.11.2016;18:39:58;9,17
10.11.2016;18:39:56;9,12
11.11.2016;18:39:57;9,15
14.11.2016;18:39:56;9,06
15.11.2016;18:39:58;8,97
16.11.2016;18:39:53;8,98
17.11.2016;18:39:56;8,87
18.11.2016;18:39:50;8,94
21.11.2016;18:39:58;8,92
22.11.2016;18:39:39;8,96
23.11.2016;18:39:57;8,94
24.11.2016;18:39:57;8,97
25.11.2016;18:39:58;9,02
28.11.2016;18:39:58;8,99
29.11.2016;18:39:48;9,0
30.11.2016;18:39:48;8,99
01.12.2016;18:39:59;8,95
02.12.2016;18:39:57;8,98
05.12.2016;18:39:52;8,98
06.12.2016;18:39:56;8,92
07.12.2016;18:39:55;8,88
08.12.2016;18:39:59;8,87
09.12.2016;18:39:36;8,83
12.12.2016;18:38:33;8,78
13.12.2016;18:39:52;8,78
14.12.2016;18:39:57;8,7
15.12.2016;18:39:40;8,69
16.12.2016;18:39:54;8,58
19.12.2016;18:39:55;8,64
20.12.2016;18:39:47;8,64
21.12.2016;18:39:53;8,65
22.12.2016;18:39:58;8,64
23.12.2016;18:39:56;8,65
26.12.2016;18:39:58;8,64
27.12.2016;18:39:58;8,66
28.12.2016;18:39:58;8,57
29.12.2016;18:39:58;8,54
30.12.2016;18:39:50;8,44
03.01.2017;18:39:59;8,43
04.01.2017;18:38:36;8,43
05.01.2017;18:39:36;8,42
06.01.2017;18:39:35;8,36
09.01.2017;18:39:58;8,56
10.01.2017;18:39:28;8,39
11.01.2017;18:39:52;8,47
12.01.2017;18:39:58;8,46
13.01.2017;18:39:47;8,44
16.01.2017;18:39:49;8,4
17.01.2017;18:39:52;8,4
18.01.2017;18:38:53;8,41
19.01.2017;18:39:58;8,4
20.01.2017;18:39:56;8,48
23.01.2017;18:39:59;8,44
24.01.2017;18:39:59;8,47
25.01.2017;18:39:56;8,52
26.01.2017;18:39:55;8,8
27.01.2017;18:39:50;8,73
30.01.2017;18:39:30;8,75
31.01.2017;18:39:58;8,86
01.02.2017;18:39:45;8,89
02.02.2017;18:39:51;8,78
03.02.2017;18:39:52;8,86
06.02.2017;18:39:59;8,89
07.02.2017;18:39:56;8,9
08.02.2017;18:39:49;8,92
09.02.2017;18:39:58;8,92
10.02.2017;18:39:59;8,95
13.02.2017;18:39:59;8,98
14.02.2017;17:17:14;8,97
15.02.2017;18:39:36;9,06
16.02.2017;18:39:58;9,11
17.02.2017;18:39:58;9,17
20.02.2017;18:39:51;9,03
21.02.2017;18:39:58;9,06
22.02.2017;18:39:57;9,17
24.02.2017;18:39:53;9,05
27.02.2017;18:39:55;9,18
28.02.2017;18:39:53;9,27
01.03.2017;18:39:53;9,26
02.03.2017;18:39:58;9,26
03.03.2017;18:39:57;9,24
06.03.2017;18:39:59;9,13
07.03.2017;18:38:38;9,1
09.03.2017;18:39:40;9,24
10.03.2017;18:39:59;9,21
13.03.2017;18:39:58;9,16
14.03.2017;18:39:57;9,18
15.03.2017;18:39:38;9,22
